id,name,postal_code,commune,numero,voie,lieu_dit,code_insee,siret,activite,contact_url,site_internet,longitude,latitude,transport_station_presence,stationnement_presence,stationnement_pmr,stationnement_ext_presence,stationnement_ext_pmr,cheminement_ext_presence,cheminement_ext_terrain_stable,cheminement_ext_plain_pied,cheminement_ext_ascenseur,cheminement_ext_nombre_marches,cheminement_ext_reperage_marches,cheminement_ext_sens_marches,cheminement_ext_main_courante,cheminement_ext_rampe,cheminement_ext_pente_presence,cheminement_ext_pente_degre_difficulte,cheminement_ext_pente_longueur,cheminement_ext_devers,cheminement_ext_bande_guidage,cheminement_ext_retrecissement,entree_reperage,entree_vitree,entree_vitree_vitrophanie,entree_plain_pied,entree_ascenseur,entree_marches,entree_marches_reperage,entree_marches_main_courante,entree_marches_rampe,entree_marches_sens,entree_dispositif_appel,entree_dispositif_appel_type,entree_balise_sonore,entree_aide_humaine,entree_largeur_mini,entree_pmr,entree_porte_presence,entree_porte_manoeuvre,entree_porte_type,accueil_visibilite,accueil_personnels,accueil_audiodescription_presence,accueil_audiodescription,accueil_equipements_malentendants_presence,accueil_equipements_malentendants,accueil_cheminement_plain_pied,accueil_cheminement_ascenseur,accueil_cheminement_nombre_marches,accueil_cheminement_reperage_marches,accueil_cheminement_main_courante,accueil_cheminement_rampe,accueil_cheminement_sens_marches,accueil_chambre_nombre_accessibles,accueil_chambre_douche_plain_pied,accueil_chambre_douche_siege,accueil_chambre_douche_barre_appui,accueil_chambre_sanitaires_barre_appui,accueil_chambre_sanitaires_espace_usage,accueil_chambre_numero_visible,accueil_chambre_equipement_alerte,accueil_chambre_accompagnement,accueil_retrecissement,sanitaires_presence,sanitaires_adaptes,labels,labels_familles_handicap,registre_url,conformite,web_url
aae6687e-46c7-4b92-a44b-c30109edea57,01 - Café Vira,75008,Paris,60,Avenue des Champs Elysées,,75108,,Restaurant,https://www.vira.fr/contact,https://www.vira.fr,2.306079,48.870631,True,False,,False,,False,,,,,,,,,,,,,,,False,False,,,,,,,,,True,,True,True,,False,True,,automatique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/75-paris/a/restaurant/erp/cafe-citron/
aa02b0db-5b48-4670-88f5-e6664cf82f91,01 TECHNICAL SPIRIT Productions Audiovisuelles,54560,Sancy,,,Bois l'Abbé sous Convert,54491,,Photographie,,http://www.technicalspirit.fr/,5.961479,49.354773,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/54-sancy/a/photographie/erp/01-technical-spirit-productions-audiovisuelles/
bd07760d-72d3-42d8-8d22-879e9e1a1a9f,02 Aventure,11000,Carcassonne,,la Cavayère,,,,Accrobranche,,http://www.o2aventure.com/,2.41625726222992,43.184518852169084,True,True,False,True,True,,,,,,,,,,,,,,,,True,False,,True,,,,,,,False,,False,True,,False,True,,manuelle,True,,,,,,False,False,2,False,False,aucune,montant,,,,,,,,,,False,False,,,,,,https://acceslibre.beta.gouv.fr/app/11-carcassonne/a/accrobranche/erp/02-aventure/
538a3dbd-bbf5-423d-8958-7701c032f02d,0 5 Sens,81500,Lavaur,3,Rue des Goutisses,,81140,,"Soins de beauté, esthétique",,https://www.o5sens.com/,1.816311,43.702617,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,https://acceslibre.beta.gouv.fr/app/81-lavaur/a/soins-de-beaute/erp/0-5-sens/
c7d781c0-12cf-4d66-aeef-571d8d4efd4f,0'mok@bar,75018,Paris,43,Rue de la Chapelle,,75118,,"Café, bar, brasserie",,http://omokabar.eatbu.com/,2.359299,48.893598,True,False,,True,True,False,,,,,,,,,,,,,,,True,True,True,True,,,,,,,False,,False,False,90,,True,battante,manuelle,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,https://acceslibre.beta.gouv.fr/app/75-paris/a/cafeteria/erp/0mokbar/
893019fe-cf9e-405e-9423-91955766cb45,0RPI,76120,Le Grand-Quevilly,10,Avenue John Fitzgerald Kennedy,,76322,,Agence immobilière,,,1.050464800318878,49.40880109458048,True,False,True,True,True,False,,,,,,,,,,,,,,,True,True,False,False,False,0,,,aucune,,False,,False,False,93,False,True,battante,manuelle,True,formés,,,False,,True,,,,,,,,,,,,,,,,False,False,,,,,False,https://acceslibre.beta.gouv.fr/app/76-le-grand-quevilly/a/agence-immobiliere/erp/0rpi/
edae5a97-21c8-4ae8-99a3-c5aaa44131a6,1,13090,Aix-en-Provence,4,Rue des Félibres,,13001,,Restauration rapide,,,5.444679,43.51826,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/13-aix-en-provence/a/restauration-rapide/erp/1/
7ddf0802-7ead-48bf-9fc6-ce414292dd33,1000 & 1 Délices,75009,Paris,42,Rue Rodier,,75109,,Achat or,https://1000-et-1-delices.business.site/,https://1000-et-1-delices.business.site/,2.343475,48.879522,True,False,,True,True,False,,,,,,,,,,,,,,,True,True,True,True,,,,,,,,,,,,False,True,battante,manuelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/75-paris/a/achat-or/erp/1000-1-delices/
94d7759c-af72-4aeb-b18d-7a20582fbe0c,1000 BORNES AUTO-ECOLE,16800,Soyaux,211,Avenue du General de Gaulle,,16374,,Auto école,,http://www.1000bornes-auto-ecole.fr/,0.191331,45.641943,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/16-soyaux/a/auto-ecole/erp/1000-bornes-auto-ecole/
128b173b-71c1-4e86-bf70-91122cee51ec,1000 Club,88120,Cleurie,1,Chemin de Chevrimont,,88109,,Salle des fêtes,,,6.676431,48.051255,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,90,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://acceslibre.beta.gouv.fr/app/88-cleurie/a/salle-des-fetes/erp/1000-club/
